datetime,symbol,open,high,low,close,volume
2010-11-04 09:15:00,NSE:COALINDIA,291.0,344.89999,291.0,342.54999,479716200.0
2010-11-05 09:15:00,NSE:COALINDIA,343.0,356.5,343.0,349.85001,31927170.0
2010-11-08 09:15:00,NSE:COALINDIA,351.79999,355.89999,329.5,330.75,46932780.0
2010-11-09 09:15:00,NSE:COALINDIA,330.14999,333.39999,325.0,326.04999,23741960.0
2010-11-10 09:15:00,NSE:COALINDIA,325.39999,327.79999,320.04999,322.79999,21057130.0
2010-11-11 09:15:00,NSE:COALINDIA,323.0,336.95001,321.85001,328.54999,26548370.0
2010-11-12 09:15:00,NSE:COALINDIA,330.0,332.95001,318.0,320.14999,15004110.0
2010-11-15 09:15:00,NSE:COALINDIA,321.20001,322.89999,315.04999,317.20001,9917395.0
2010-11-16 09:15:00,NSE:COALINDIA,320.0,323.95001,316.10001,318.04999,12100110.0
2010-11-18 09:15:00,NSE:COALINDIA,319.60001,328.95001,310.0,326.89999,23983900.0
2010-11-19 09:15:00,NSE:COALINDIA,330.25,339.95001,328.10001,333.54999,51723740.0
2010-11-22 09:15:00,NSE:COALINDIA,336.0,337.0,315.0,333.35001,11494520.0
2010-11-23 09:15:00,NSE:COALINDIA,330.5,332.39999,317.5,320.14999,13147670.0
2010-11-24 09:15:00,NSE:COALINDIA,329.35001,329.35001,310.0,310.79999,16243560.0
2010-11-25 09:15:00,NSE:COALINDIA,314.0,318.35001,311.10001,313.20001,6489260.0
2010-11-26 09:15:00,NSE:COALINDIA,315.0,316.0,301.0,312.70001,13657320.0
2010-11-29 09:15:00,NSE:COALINDIA,311.39999,319.70001,308.20001,317.45001,6493219.0
2010-11-30 09:15:00,NSE:COALINDIA,315.0,319.0,312.0,317.25,6050064.0
2010-12-01 09:15:00,NSE:COALINDIA,317.0,322.5,315.0,320.95001,5053942.0
2010-12-02 09:15:00,NSE:COALINDIA,322.20001,325.95001,321.14999,324.85001,6143344.0
2010-12-03 09:15:00,NSE:COALINDIA,318.10001,325.70001,318.10001,321.95001,2453815.0
2010-12-06 09:15:00,NSE:COALINDIA,321.0,324.89999,318.5,320.39999,2895539.0
2010-12-07 09:15:00,NSE:COALINDIA,320.5,322.75,317.25,320.0,3484977.0
2010-12-08 09:15:00,NSE:COALINDIA,318.60001,322.70001,317.25,318.85001,2877153.0
