datetime,symbol,open,high,low,close,volume
2021-02-25 09:15:00,NSE:NURECA,615.0,645.75,584.25,645.75,209580.0
2021-02-26 09:15:00,NSE:NURECA,678.0,678.0,678.0,678.0,14409.0
2021-03-01 09:15:00,NSE:NURECA,711.9,711.9,711.9,711.9,10763.0
2021-03-02 09:15:00,NSE:NURECA,747.45,747.45,676.35,676.35,73562.0
2021-03-03 09:15:00,NSE:NURECA,642.55,642.55,642.55,642.55,13602.0
2021-03-04 09:15:00,NSE:NURECA,610.45,674.0,610.45,658.9,81956.0
2021-03-05 09:15:00,NSE:NURECA,635.0,655.0,626.0,626.0,68537.0
2021-03-08 09:15:00,NSE:NURECA,626.0,626.0,594.7,604.45,41450.0
2021-03-09 09:15:00,NSE:NURECA,599.0,634.65,577.0,634.5,73458.0
2021-03-10 09:15:00,NSE:NURECA,646.0,646.0,624.0,631.55,15790.0
2021-03-12 09:15:00,NSE:NURECA,635.0,640.0,602.2,604.9,40127.0
2021-03-15 09:15:00,NSE:NURECA,610.0,610.0,555.6,577.6,33508.0
2021-03-16 09:15:00,NSE:NURECA,587.3,587.3,560.25,580.3,27583.0
2021-03-17 09:15:00,NSE:NURECA,592.0,599.0,578.05,587.85,39652.0
2021-03-18 09:15:00,NSE:NURECA,598.4,599.0,572.0,578.65,12114.0
2021-03-19 09:15:00,NSE:NURECA,578.6,654.0,558.1,616.4,83141.0
2021-03-22 09:15:00,NSE:NURECA,623.4,664.7,617.0,645.55,67190.0
2021-03-23 09:15:00,NSE:NURECA,649.0,660.0,620.0,629.05,22625.0
2021-03-24 09:15:00,NSE:NURECA,626.0,639.35,593.95,603.85,15498.0
2021-03-25 09:15:00,NSE:NURECA,599.0,609.9,585.95,597.2,16278.0
2021-03-26 09:15:00,NSE:NURECA,618.95,618.95,590.0,601.7,5684.0
2021-03-30 09:15:00,NSE:NURECA,605.0,619.35,591.9,612.25,27762.0
2021-03-31 09:15:00,NSE:NURECA,605.0,611.95,595.1,601.05,12690.0
2021-04-01 09:15:00,NSE:NURECA,609.1,615.0,583.0,601.5,10266.0
2021-04-05 09:15:00,NSE:NURECA,615.0,689.95,602.0,674.4,149707.0
2021-04-06 09:15:00,NSE:NURECA,680.9,738.7,650.0,693.55,139235.0
2021-04-07 09:15:00,NSE:NURECA,693.0,714.8,666.9,680.05,38881.0
2021-04-08 09:15:00,NSE:NURECA,683.0,717.35,683.0,707.15,49492.0
2021-04-09 09:15:00,NSE:NURECA,714.0,848.55,700.7,848.55,180478.0
2021-04-12 09:15:00,NSE:NURECA,890.0,933.4,856.5,931.5,297114.0
2021-04-13 09:15:00,NSE:NURECA,954.0,974.8,880.8,902.25,129445.0
2021-04-15 09:15:00,NSE:NURECA,894.8,925.0,860.0,913.65,59927.0
2021-04-16 09:15:00,NSE:NURECA,925.0,1005.0,925.0,1005.0,67312.0
2021-04-19 09:15:00,NSE:NURECA,1079.05,1105.5,1050.0,1105.5,71719.0
2021-04-20 09:15:00,NSE:NURECA,1160.75,1160.75,1160.75,1160.75,72151.0
2021-04-22 09:15:00,NSE:NURECA,1210.0,1218.75,1165.05,1218.75,38125.0
2021-04-23 09:15:00,NSE:NURECA,1278.0,1279.65,1250.0,1279.65,38156.0
2021-04-26 09:15:00,NSE:NURECA,1343.6,1343.6,1343.6,1343.6,2762.0
2021-04-27 09:15:00,NSE:NURECA,1410.75,1410.75,1410.75,1410.75,2014.0
