datetime,symbol,open,high,low,close,volume
2014-10-01 09:15:00,NSE:SHEMAROO,180.0,182.0,171.0,171.0,1311237.0
2014-10-07 09:15:00,NSE:SHEMAROO,162.45,162.45,162.45,162.45,71470.0
2014-10-08 09:15:00,NSE:SHEMAROO,154.35001,154.35001,154.35001,154.35001,160175.0
2014-10-09 09:15:00,NSE:SHEMAROO,146.64999,158.0,146.64999,156.05,568988.0
2014-10-10 09:15:00,NSE:SHEMAROO,149.64999,156.0,149.64999,154.0,235579.0
2014-10-13 09:15:00,NSE:SHEMAROO,155.0,159.64999,152.7,157.8,74449.0
2014-10-14 09:15:00,NSE:SHEMAROO,154.05,156.5,152.75,153.8,34303.0
2014-10-16 09:15:00,NSE:SHEMAROO,153.8,154.85001,147.0,148.64999,34505.0
2014-10-17 09:15:00,NSE:SHEMAROO,147.0,148.75,144.0,146.10001,16504.0
2014-10-20 09:15:00,NSE:SHEMAROO,148.0,153.39999,148.0,153.39999,10922.0
2014-10-21 09:15:00,NSE:SHEMAROO,159.0,165.0,153.5,160.35001,238290.0
2014-10-22 09:15:00,NSE:SHEMAROO,159.75,171.0,157.55,163.14999,215936.0
2014-10-23 09:15:00,NSE:SHEMAROO,163.14999,164.75,161.0,162.2,31129.0
2014-10-27 09:15:00,NSE:SHEMAROO,161.05,164.35001,156.05,157.10001,37560.0
2014-10-28 09:15:00,NSE:SHEMAROO,157.5,157.5,153.05,154.89999,38793.0
2014-10-29 09:15:00,NSE:SHEMAROO,154.5,161.5,153.55,157.39999,47083.0
2014-10-30 09:15:00,NSE:SHEMAROO,157.89999,161.75,155.25,160.25,43939.0
2014-10-31 09:15:00,NSE:SHEMAROO,163.7,165.39999,158.64999,163.95,147988.0
2014-11-03 09:15:00,NSE:SHEMAROO,161.10001,163.95,161.0,161.5,25458.0
2014-11-05 09:15:00,NSE:SHEMAROO,162.5,166.0,160.2,161.2,49138.0
2014-11-07 09:15:00,NSE:SHEMAROO,161.2,162.45,160.0,160.05,20402.0
2014-11-10 09:15:00,NSE:SHEMAROO,160.7,162.85001,159.05,160.3,39621.0
2014-11-11 09:15:00,NSE:SHEMAROO,160.05,167.0,160.0,164.2,148843.0
2014-11-12 09:15:00,NSE:SHEMAROO,165.45,170.5,162.60001,166.05,153740.0
2014-11-13 09:15:00,NSE:SHEMAROO,166.0,168.75,163.0,163.25,27158.0
2014-11-14 09:15:00,NSE:SHEMAROO,162.25,167.75,162.2,165.10001,29516.0
2014-11-17 09:15:00,NSE:SHEMAROO,166.0,174.5,164.0,172.75,123998.0
2014-11-18 09:15:00,NSE:SHEMAROO,174.0,195.89999,173.8,186.14999,714880.0
2014-11-19 09:15:00,NSE:SHEMAROO,187.75,192.35001,178.0,181.3,224149.0
2014-11-20 09:15:00,NSE:SHEMAROO,217.39999,217.39999,200.10001,205.75,987159.0
2014-11-21 09:15:00,NSE:SHEMAROO,208.8,209.60001,197.10001,205.14999,317856.0
2014-11-24 09:15:00,NSE:SHEMAROO,207.64999,209.0,201.55,204.95,233866.0
2014-11-25 09:15:00,NSE:SHEMAROO,207.0,207.0,190.7,194.8,126856.0
2014-11-26 09:15:00,NSE:SHEMAROO,194.64999,201.0,192.95,198.5,80191.0
2014-11-27 09:15:00,NSE:SHEMAROO,198.0,207.5,198.0,203.95,131494.0
2014-11-28 09:15:00,NSE:SHEMAROO,200.0,206.0,199.0,200.35001,55345.0
2014-12-01 09:15:00,NSE:SHEMAROO,200.0,203.89999,192.64999,193.8,44933.0
2014-12-02 09:15:00,NSE:SHEMAROO,194.39999,196.95,190.2,193.8,39010.0
2014-12-03 09:15:00,NSE:SHEMAROO,195.0,198.0,191.0,192.85001,35610.0
2014-12-04 09:15:00,NSE:SHEMAROO,194.0,195.10001,185.95,187.14999,43762.0
2014-12-05 09:15:00,NSE:SHEMAROO,185.0,193.95,185.0,187.64999,49225.0
2014-12-08 09:15:00,NSE:SHEMAROO,194.95,194.95,182.39999,184.14999,31163.0
2014-12-09 09:15:00,NSE:SHEMAROO,182.3,183.14999,172.0,176.10001,60881.0
2014-12-10 09:15:00,NSE:SHEMAROO,176.25,178.75,168.60001,171.55,44811.0
2014-12-11 09:15:00,NSE:SHEMAROO,172.0,172.0,161.10001,167.89999,56549.0
2014-12-12 09:15:00,NSE:SHEMAROO,168.60001,172.10001,164.0,165.8,33840.0
2014-12-15 09:15:00,NSE:SHEMAROO,164.0,167.95,161.10001,161.89999,22087.0
2014-12-16 09:15:00,NSE:SHEMAROO,167.85001,167.85001,156.25,158.45,33326.0
2014-12-17 09:15:00,NSE:SHEMAROO,157.0,159.8,145.0,154.60001,32065.0
2014-12-18 09:15:00,NSE:SHEMAROO,157.2,166.0,156.2,159.60001,22346.0
2014-12-19 09:15:00,NSE:SHEMAROO,165.3,165.3,158.0,158.95,37637.0
2014-12-22 09:15:00,NSE:SHEMAROO,159.75,164.7,159.60001,161.7,27736.0
2014-12-23 09:15:00,NSE:SHEMAROO,161.5,162.64999,159.0,160.3,13274.0
2014-12-24 09:15:00,NSE:SHEMAROO,159.55,161.0,158.0,159.25,20550.0
2014-12-26 09:15:00,NSE:SHEMAROO,162.7,162.7,157.0,158.75,16238.0
2014-12-29 09:15:00,NSE:SHEMAROO,157.0,161.5,157.0,160.0,12855.0
2014-12-30 09:15:00,NSE:SHEMAROO,161.0,162.0,159.14999,160.89999,7318.0
2014-12-31 09:15:00,NSE:SHEMAROO,161.75,164.3,160.25,163.3,21685.0
2015-01-01 09:15:00,NSE:SHEMAROO,163.0,176.0,162.05,169.35001,34530.0
2015-01-02 09:15:00,NSE:SHEMAROO,168.25,201.0,168.25,192.25,551543.0
2015-01-05 09:15:00,NSE:SHEMAROO,198.10001,199.10001,185.55,189.95,130395.0
2015-01-06 09:15:00,NSE:SHEMAROO,188.0,188.0,173.95,176.35001,200970.0
2015-01-07 09:15:00,NSE:SHEMAROO,177.05,182.0,171.7,173.64999,60327.0
2015-01-08 09:15:00,NSE:SHEMAROO,178.75,193.89999,178.75,186.5,245997.0
2015-01-09 09:15:00,NSE:SHEMAROO,187.85001,189.85001,184.10001,185.64999,42208.0
2015-01-12 09:15:00,NSE:SHEMAROO,183.10001,187.5,183.0,184.3,29592.0
2015-01-13 09:15:00,NSE:SHEMAROO,182.10001,189.0,181.60001,186.25,24675.0
2015-01-14 09:15:00,NSE:SHEMAROO,182.10001,188.95,179.0,182.5,40140.0
2015-01-15 09:15:00,NSE:SHEMAROO,194.0,194.0,182.5,184.2,13441.0
