datetime,symbol,open,high,low,close,volume
2021-03-19 09:15:00,NSE:JUBLINGREA,255.95,268.7,243.2,268.7,797366.0
2021-03-22 09:15:00,NSE:JUBLINGREA,282.1,282.1,282.1,282.1,103188.0
2021-03-23 09:15:00,NSE:JUBLINGREA,296.2,296.2,293.0,296.2,807676.0
2021-03-24 09:15:00,NSE:JUBLINGREA,289.9,293.7,281.4,281.4,372598.0
2021-03-25 09:15:00,NSE:JUBLINGREA,267.35,267.35,267.35,267.35,64156.0
2021-03-26 09:15:00,NSE:JUBLINGREA,254.0,254.0,254.0,254.0,125005.0
2021-03-30 09:15:00,NSE:JUBLINGREA,241.3,266.7,241.3,266.65,1603540.0
2021-03-31 09:15:00,NSE:JUBLINGREA,253.4,267.0,253.4,259.7,537255.0
2021-04-01 09:15:00,NSE:JUBLINGREA,261.0,272.65,260.0,272.65,527640.0
2021-04-05 09:15:00,NSE:JUBLINGREA,278.9,286.25,275.0,286.25,431503.0
2021-04-06 09:15:00,NSE:JUBLINGREA,306.25,343.5,301.0,343.5,3641770.0
2021-04-07 09:15:00,NSE:JUBLINGREA,343.0,349.9,319.6,330.6,1610389.0
2021-04-08 09:15:00,NSE:JUBLINGREA,335.0,341.1,321.5,323.35,521383.0
2021-04-09 09:15:00,NSE:JUBLINGREA,322.1,339.9,313.1,333.85,704343.0
2021-04-12 09:15:00,NSE:JUBLINGREA,323.0,327.2,302.55,309.0,603548.0
2021-04-13 09:15:00,NSE:JUBLINGREA,311.0,324.0,306.8,317.8,319966.0
2021-04-15 09:15:00,NSE:JUBLINGREA,322.0,322.0,305.25,311.1,288127.0
2021-04-16 09:15:00,NSE:JUBLINGREA,304.9,315.65,297.0,301.05,577405.0
2021-04-19 09:15:00,NSE:JUBLINGREA,302.0,329.0,295.5,313.9,1202262.0
2021-04-20 09:15:00,NSE:JUBLINGREA,317.5,325.75,311.0,316.6,569326.0
2021-04-22 09:15:00,NSE:JUBLINGREA,318.0,344.7,313.45,335.85,1102639.0
2021-04-23 09:15:00,NSE:JUBLINGREA,338.2,340.95,323.2,330.3,400051.0
2021-04-26 09:15:00,NSE:JUBLINGREA,343.5,343.5,325.0,328.2,523268.0
2021-04-27 09:15:00,NSE:JUBLINGREA,328.8,337.0,322.0,326.1,609651.0
2021-04-28 09:15:00,NSE:JUBLINGREA,320.25,339.5,320.25,331.65,2084800.0
2021-04-29 09:15:00,NSE:JUBLINGREA,338.0,384.4,328.0,376.4,3772871.0
