datetime,symbol,open,high,low,close,volume
2021-07-14 09:15:00,NSE:SVPGLOB,111.8,114.4,106.9,108.2,376354.0
2021-07-15 09:15:00,NSE:SVPGLOB,109.4,112.4,101.2,103.75,136696.0
2021-07-16 09:15:00,NSE:SVPGLOB,106.2,114.0,104.95,109.8,309032.0
2021-07-19 09:15:00,NSE:SVPGLOB,106.6,113.0,106.0,108.3,175021.0
2021-07-20 09:15:00,NSE:SVPGLOB,106.0,112.0,105.0,107.55,130923.0
2021-07-22 09:15:00,NSE:SVPGLOB,109.5,113.0,107.5,111.45,207393.0
2021-07-23 09:15:00,NSE:SVPGLOB,113.95,114.0,108.2,108.7,92524.0
2021-07-26 09:15:00,NSE:SVPGLOB,110.4,110.5,104.0,106.65,64524.0
2021-07-27 09:15:00,NSE:SVPGLOB,108.3,109.9,105.3,107.05,163339.0
2021-07-28 09:15:00,NSE:SVPGLOB,108.0,111.0,106.1,109.55,72476.0
2021-07-29 09:15:00,NSE:SVPGLOB,109.85,111.5,106.65,108.9,171557.0
2021-07-30 09:15:00,NSE:SVPGLOB,106.7,109.4,106.7,108.55,17522.0
2021-08-02 09:15:00,NSE:SVPGLOB,110.95,110.95,106.55,109.1,48719.0
2021-08-03 09:15:00,NSE:SVPGLOB,110.5,120.0,108.5,118.3,422505.0
2021-08-04 09:15:00,NSE:SVPGLOB,119.85,121.0,117.1,118.0,153697.0
2021-08-05 09:15:00,NSE:SVPGLOB,118.1,118.9,112.45,117.0,74768.0
2021-08-06 09:15:00,NSE:SVPGLOB,121.9,121.9,116.5,117.75,53086.0
2021-08-09 09:15:00,NSE:SVPGLOB,120.9,120.9,117.45,118.5,92910.0
2021-08-10 09:15:00,NSE:SVPGLOB,119.9,119.9,112.35,114.9,97310.0
