datetime,symbol,open,high,low,close,volume
2010-01-04 09:15:00,NSE:JSWENERGY,106.0,106.35,100.0,100.85,76470142.0
2010-01-05 09:15:00,NSE:JSWENERGY,101.75,117.8,100.05,113.0,63811259.0
2010-01-06 09:15:00,NSE:JSWENERGY,113.7,117.95,111.25,112.85,19904390.0
2010-01-07 09:15:00,NSE:JSWENERGY,113.5,114.9,111.25,113.1,9317790.0
2010-01-08 09:15:00,NSE:JSWENERGY,113.9,115.6,112.75,113.1,5981165.0
2010-01-11 09:15:00,NSE:JSWENERGY,114.0,120.8,113.6,119.8,20381891.0
2010-01-12 09:15:00,NSE:JSWENERGY,120.0,123.8,118.5,119.55,16633327.0
2010-01-13 09:15:00,NSE:JSWENERGY,118.0,118.95,116.1,117.7,6750788.0
2010-01-14 09:15:00,NSE:JSWENERGY,118.5,122.0,117.8,119.1,7584404.0
2010-01-15 09:15:00,NSE:JSWENERGY,119.3,120.3,116.6,117.2,3256652.0
2010-01-18 09:15:00,NSE:JSWENERGY,116.4,117.85,114.7,115.4,3039817.0
2010-01-19 09:15:00,NSE:JSWENERGY,114.8,116.75,113.5,113.8,3044950.0
2010-01-20 09:15:00,NSE:JSWENERGY,114.25,118.7,114.2,115.45,6037703.0
2010-01-21 09:15:00,NSE:JSWENERGY,115.0,116.7,111.35,113.1,4459218.0
2010-01-22 09:15:00,NSE:JSWENERGY,111.0,113.5,108.25,111.6,3937412.0
2010-01-25 09:15:00,NSE:JSWENERGY,111.0,112.75,109.0,110.05,1766337.0
2010-01-27 09:15:00,NSE:JSWENERGY,109.0,110.0,106.0,107.6,3409342.0
2010-01-28 09:15:00,NSE:JSWENERGY,108.4,109.8,106.2,106.6,1693008.0
2010-01-29 09:15:00,NSE:JSWENERGY,106.0,107.0,101.8,106.75,2198552.0
2010-02-01 09:15:00,NSE:JSWENERGY,106.25,109.2,105.5,107.35,1462462.0
2010-02-02 09:15:00,NSE:JSWENERGY,108.9,111.65,104.4,105.15,4616372.0
2010-02-03 09:15:00,NSE:JSWENERGY,106.5,110.2,105.95,109.85,2902575.0
2010-02-04 09:15:00,NSE:JSWENERGY,111.0,112.25,105.75,106.05,2169447.0
2010-02-05 09:15:00,NSE:JSWENERGY,102.75,104.7,102.05,103.05,2111039.0
2010-02-08 09:15:00,NSE:JSWENERGY,111.2,111.85,106.9,107.8,2582448.0
2010-02-09 09:15:00,NSE:JSWENERGY,108.0,112.8,107.5,110.85,5416636.0
2010-02-10 09:15:00,NSE:JSWENERGY,111.9,112.4,108.55,109.4,1838076.0
2010-02-11 09:15:00,NSE:JSWENERGY,109.95,110.8,108.25,108.9,1376423.0
2010-02-15 09:15:00,NSE:JSWENERGY,109.35,110.0,106.1,106.65,1744171.0
2010-02-16 09:15:00,NSE:JSWENERGY,108.5,110.0,106.8,109.4,1370373.0
2010-02-17 09:15:00,NSE:JSWENERGY,110.6,110.7,108.4,108.8,1265832.0
2010-02-18 09:15:00,NSE:JSWENERGY,109.0,111.8,107.7,109.3,2251734.0
2010-02-19 09:15:00,NSE:JSWENERGY,108.4,109.0,106.05,107.15,972696.0
2010-02-22 09:15:00,NSE:JSWENERGY,108.5,109.5,104.6,105.2,825240.0
2010-02-23 09:15:00,NSE:JSWENERGY,105.3,107.0,104.6,105.05,865744.0
2010-02-24 09:15:00,NSE:JSWENERGY,104.5,105.75,103.9,104.2,771490.0
2010-02-25 09:15:00,NSE:JSWENERGY,104.9,105.0,104.0,104.1,587345.0
2010-02-26 09:15:00,NSE:JSWENERGY,104.7,105.9,103.15,103.65,1600523.0
2010-03-02 09:15:00,NSE:JSWENERGY,104.4,105.8,104.1,104.75,844223.0
2010-03-03 09:15:00,NSE:JSWENERGY,105.0,108.25,104.75,106.0,1903928.0
2010-03-04 09:15:00,NSE:JSWENERGY,106.0,106.9,105.05,105.55,1024300.0
2010-03-05 09:15:00,NSE:JSWENERGY,106.4,110.2,105.8,109.5,4297257.0
2010-03-08 09:15:00,NSE:JSWENERGY,111.0,112.9,109.8,111.0,4371956.0
2010-03-09 09:15:00,NSE:JSWENERGY,111.5,112.0,107.45,107.75,1063789.0
2010-03-10 09:15:00,NSE:JSWENERGY,107.95,108.75,106.3,106.8,953114.0
2010-03-11 09:15:00,NSE:JSWENERGY,106.95,108.3,104.7,105.95,1585272.0
2010-03-12 09:15:00,NSE:JSWENERGY,106.5,106.9,105.1,106.0,1050143.0
2010-03-15 09:15:00,NSE:JSWENERGY,105.6,106.0,104.75,105.15,1014599.0
2010-03-16 09:15:00,NSE:JSWENERGY,105.15,108.05,105.0,107.4,1222947.0
2010-03-17 09:15:00,NSE:JSWENERGY,108.25,112.85,108.15,111.05,3706671.0
2010-03-18 09:15:00,NSE:JSWENERGY,112.1,112.1,108.8,110.0,1343072.0
2010-03-19 09:15:00,NSE:JSWENERGY,110.0,110.4,107.15,107.8,1144119.0
2010-03-22 09:15:00,NSE:JSWENERGY,106.1,109.0,106.1,108.1,1934736.0
2010-03-23 09:15:00,NSE:JSWENERGY,108.5,112.6,107.8,112.0,3185029.0
2010-03-25 09:15:00,NSE:JSWENERGY,111.5,115.35,110.2,114.1,3725741.0
2010-03-26 09:15:00,NSE:JSWENERGY,115.5,117.45,113.55,114.65,5024715.0
2010-03-29 09:15:00,NSE:JSWENERGY,115.0,116.35,111.65,112.1,1980249.0
2010-03-30 09:15:00,NSE:JSWENERGY,112.6,114.45,111.75,111.85,1314004.0
